"vendor_code","name"
9935833,"Пакет под торт 20х20х20cm Крафт, 1шт"
9667728,"Пакет подарочный новогодний крафтовый «Новогодний подарок», 22 х 25 х 12 см, Новый год"
1499512,"Пакет подарочный крафтовый вертикальный, упаковка, «Для тебя!», ML 23 х 27 х 11,5 см"
1830401,"Пакет подарочный крафтовый вертикальный, упаковка, «Милые котики», ML 23 х 27 х 8 см"
4262674,"Пакет ""Бристоль"", полиэтиленовый с вырубной ручкой, 30 х 40 см, 35 мкм"
1759366,"Пакет подарочный ""Цветочный хор"", 24 х 20.3 х 11.5 см"
10523311,"Пакет крафт, синий ,""Полосы"", 21 х 15 х 8 см"
1759367,"Пакет подарочный ""Полет цветов"", 24 х 20.3 х 11.5 см"
1431841,"Пакет подарочный ""Ожидание"" 26,5 х 16,5 х 7 см"
1759368,"Пакет подарочный ""Белая бабочка"", 24 х 20.3 х 11.5 см"
4783297,"Пакет подарочный крафтовый вертикальный, упаковка, «Love and flowers», 23 х 27 х 11,5 см"
1759369,"Пакет подарочный ""Упоение"", 24 х 20.3 х 11.5 см"
4836678,"Пакет подарочный «Мне нельзя сладкое, наливай полусладкое», 24 х 10,5 х 32 см"
4913090,"Пакет крафт, «Горошек», 24 х 10,5 х 32 см"
5289013,"Пакет подарочный крафтовый квадратный, упаковка, «Sunshine», 30 х 30 х 12 см"
1759370,"Пакет подарочный ""Послание"", 24 х 20.3 х 11.5 см"
9592316,"Пакет подарочный ""Маки не маки"", 18 х 22,3 х 10 см"
9592318,"Пакет подарочный ""Звездная ночь"", 18 х 22,3 х 10 см"
1759374,"Пакет подарочный ""Грани совершенства"", 24 х 20.3 х 11.5 см"
9592379,"Пакет подарочный ""Небесные цветы"", 18 х 22,3 х 10 см"
9592380,"Пакет подарочный ""Пионное настроение"", 18 х 22,3 х 10 см"
7183923,"Пакет подарочный крафтовый квадратный, упаковка, «Космос: Space», 30 х 30 х 12 см"
1759375,"Пакет подарочный ""Полет цветов"", 36 х 26 х 11.5 см"
7155021,"Пакет ""Шалун"", полиэтиленовый с вырубной ручкой, 30х40 см, 30 мкм"
1759371,"Пакет подарочный ""Тачки"", 24 х 20.3 х 11.5 см"
9351832,"Пакет крафт «Радуга», чёрный, 32 х 19,5 х 37 см, 80 г/м2, 1 шт"
1759376,"Пакет подарочный ""Белая бабочка"", 36 х 26 х 11.5 см"
1759377,"Пакет подарочный ""Упоение"", 36 х 26 х 11.5 см"
9670345,"Пакет подарочный «Торт тебе», 24 х 10,5 х 32 см, 1 шт"
9824545,"Пакет «Дракоша», полиэтиленовый, с вырубной ручкой, 29 х 38 см, 30 мкм"
4166756,"Пакет ""Презент"", полиэтиленовый с вырубной ручкой, 30 мкм 20 х 30 см"
3512231,"Пакет ""Сирень"", полиэтиленовый с вырубной ручкой, 31 х 40 см, 60 мкм"
7155022,"Пакет ""Тигруля"", полиэтиленовый с вырубной ручкой, 31х40 см, 60 мкм"
7155020,"Пакет ""Тигрёнок"", полиэтиленовый с вырубной ручкой, 20х30 см, 30 мкм"
1759378,"Пакет подарочный ""Послание"", 36 х 26 х 11.5 см"
1759379,"Пакет подарочный ""Этно"", 36 х 26 х 11.5 см"
9599427,"Подарочный пакет - коробка ""Цветущий миндаль"", 23 х 16 х 11 см"
1759380,"Пакет подарочный ""Тачки"", 36 х 26 х 11.5 см"
1431851,"Пакет подарочный ""Именины"" 22,5 х 23 х 10 см"
1431837,"Пакет подарочный ""Полевые цветы"" 26,5 х 16,5 х 7 см"
4166759,"Пакет ""Лепестки роз NEW"", полиэтиленовый с вырубной ручкой, 20 х 30 см, 30 мкм"
7548996,"Пакет подарочный ламинированный, упаковка, «Тебе», MS 18 х 23 х 10 см"
1759381,"Пакет подарочный ""Мужской набор"", 36 х 26 х 11.5 см"
1431853,"Пакет подарочный ""Дыхание осени"" 23 х 22,5 х 10 см"
7548998,"Пакет подарочный ламинированный, упаковка, «Подарок», S 12 х 15 х 5,5 см"
7549000,"Пакет подарочный ламинированный, упаковка, «Для тебя», ML 23 х 27 х 11,5 см"
1759382,"Пакет подарочный ""Поло"", 36 х 26 х 11.5 см"
1759383,"Пакет подарочный ""Голубые корабли"", 36 х 26 х 11.5 см"
7183895,"Пакет подарочный, упаковка, «Вдохновляй», 19 х 20 х 9 см"
1431852,"Пакет подарочный ""Возможности"" 22,5 х 23 х 10 см"
2779108,"Пакет подарочный ламинированный горизонтальный, упаковка, «Ты прекрасна», MS 18 х 23 х 8 см"
999103,"Пакет ""Птичка-невеличка"" полиэтиленовый, с петлевой ручкой, 44х40 см, 43 мкм"
1759384,"Пакет подарочный ""Грани совершенства"", 36 х 26 х 11,5 см"
10084308,"Пакет подарочный ламинированный, упаковка, «Самой нежной», MS 18 х 23 х 8 см"
1759385,"Пакет подарочный под бутылку ""Наслаждайся"", 36 х 12 х 8.5 см"
1759386,"Пакет подарочный ""Полет цветов"", 41 х 33 х 10 см"
1759387,"Пакет подарочный ""Белая бабочка"", 42.5 х 33 х 10 см"
1759410,"Пакет подарочный ""Пожелания"" люкс, 32 х 26 х 12 см"
